material_code,description,uom,category_hint,hsn_code,last_rate_inr
ONG-HB-0001,HEX BOLT M16X60 8.8 HDG DIN 933,NOS,fastener,7318,12.5
ONG-HN-0002,HEX NUT M16 ZINC DIN 934,NOS,fastener,7318,4.5
ONG-FW-0003,FLAT WASHER M16 ZN DIN 125,NOS,fastener,7318,1.8
ONG-GV-0004,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,NOS,valve,8481,4150.0
ONG-GV-0005,GATE VALVE 2 INCH CLASS 150 FLANGED CAST STEEL,NOS,valve,8481,1860.0
ONG-BV-0006,BALL VALVE SS316 1 INCH SCREWED,NOS,valve,8481,980.0
ONG-EL-0007,ELBOW 2 INCH SCH 40 ASTM A234 WPB 90 DEG,NOS,pipe-fitting,7307,240.0
ONG-RD-0008,REDUCER 2X1 INCH SCH 40 ASTM A234 WPB,NOS,pipe-fitting,7307,210.0
ONG-FL-0009,FLANGE 2 INCH CLASS 150 ASTM A105 RF SLIP ON,NOS,pipe-fitting,7307,640.0
ONG-SP-0010,SEAMLESS PIPE 4 INCH NB SCH 40 ASTM A106 GR B,MTR,pipe,7304,318.0
ONG-BB-0011,BALL BEARING 6205 ZZ 25 MM,NOS,bearing,8482,215.0
ONG-PG-0012,PRESSURE GAUGE BOURDON 0-10 KG/CM2 1/2 BSP 4 INCH,NOS,instrument,9026,1150.0
ONG-TW-0013,THERMOWELL 1/2 INCH 150 MM SS316,NOS,instrument,9026,420.0
ONG-CB-0014,CABLE 1.1 KV PVC 2C X 1.5 SQMM,MTR,electrical,8544,36.0
ONG-CT-0015,CONTACTOR 4 POLE 230 V AC 32 A,NOS,electrical,8535,2400.0
ONG-HB-0016,HEX BOLT M10X30 8.8 ZINC DIN 933,NOS,fastener,7318,7.8
ONG-HB-0017,HEX BOLT M10 X 30 10.9 ZINC DIN 933,NOS,fastener,7318,8.4
ONG-GB-0018,GATE VALVE 4 INCH CLASS 150 FLANGED CAST IRON,,valve,8481,2600.0
