national_material_code,standardized_description,category,material_type,uom,cpses_sharing,num_legacy_codes,avg_rate_inr,min_rate_inr,max_rate_inr,confidence,status
NMC-VLV-BFLY-CBD4B276,BUTTERFLY VALVE | 6.0IN | CAST IRON | 150 | WAFER | NOS,valve,butterfly valve,NOS,"CPCL,GAIL",2,3327.5,3255.0,3400.0,0.9728,AUTO_MATCHED
NMC-FAST-BOLT-9BF0ABAC,HEX BOLT | M10X40 | 8.8 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,"CPCL,IOCL",2,18.5,18.0,19.0,0.9604,AUTO_MATCHED
NMC-FAST-NUT-36F25EB4,HEX NUT | M16 | 8 | ZN | DIN 934 | NOS,fastener,hex nut,NOS,"CPCL,IOCL,SAIL",3,6.33,6.0,7.0,0.7361,AUTO_MATCHED
NMC-FAST-WSHR-5841AA67,FLAT WASHER | M16 | ZN | DIN 125 | NOS,fastener,flat washer,NOS,"CPCL,IOCL,NTPC,SAIL",4,3.25,3.0,4.0,0.6899,AUTO_MATCHED
NMC-VLV-GATE-62535D6F,GATE VALVE | 1.5IN | FORGED STEEL | 800 | SW | NOS,valve,gate valve,NOS,"CPCL,IOCL,SAIL",3,4648.67,4236.0,4933.0,0.9626,AUTO_MATCHED
NMC-BRG-BALL-B63F592A,BALL BEARING | 6205 | ZZ | NOS,bearing,ball bearing,NOS,"CPCL,GAIL,NTPC",3,271.0,215.0,319.0,0.85,AUTO_MATCHED
NMC-BRG-ROLL-B378E174,ROLLER BEARING | 22217 | CCW33 | NOS,bearing,roller bearing,NOS,"CPCL,GAIL,IOCL,SAIL",4,1865.25,1640.0,1990.0,0.9385,AUTO_MATCHED
NMC-VLV-GLOBE-519D5145,GLOBE VALVE | 1.5IN | FORGED STEEL | 800 | SW | NOS,valve,globe valve,NOS,"CPCL,IOCL,SAIL",3,3573.33,3354.0,3747.0,0.9733,AUTO_MATCHED
NMC-FAST-SHCS-DD191B7B,SOCKET HEAD CAP SCREW | M10X30 | 12.9 | ZN | DIN 912 | NOS,fastener,socket head cap screw,NOS,"CPCL,NTPC,SAIL",3,22.33,22.0,23.0,0.8489,AUTO_MATCHED
NMC-BRG-ROLL-B38FA5A7,ROLLER BEARING | 22206 | OPEN | NOS,bearing,roller bearing,NOS,"CPCL,IOCL,NTPC,SAIL",6,1899.67,1678.0,2193.0,0.6541,AUTO_MATCHED
NMC-FAST-STUD-35740701,STUD BOLT | M20X100 | B7 | A193 | PLN | ASTM A193 | NOS,fastener,stud bolt,NOS,"CPCL,IOCL",2,91.5,90.0,93.0,0.892,AUTO_MATCHED
NMC-FAST-WSHR-48D253A8,FLAT WASHER | M14 | ZN | DIN 125 | NOS,fastener,flat washer,NOS,"CPCL,NTPC,SAIL",5,3.0,3.0,3.0,0.7157,AUTO_MATCHED
NMC-FIT-FLANGE-53237127,FLANGE | 2.0IN | A105 | 150 | WN | ASTM A105 | NOS,fitting,flange,NOS,"CPCL,GAIL,IOCL,SAIL",4,684.25,623.0,760.0,0.8903,AUTO_MATCHED
NMC-ELEC-CABLE-2CFB332A,CABLE | 1.1KV | XLPE | 3CX2.5 | NOS,electrical,cable,NOS,"CPCL,GAIL,IOCL,NTPC",4,99.0,95.0,109.0,0.9265,AUTO_MATCHED
NMC-FIT-ELBOW-A8BCC18E,ELBOW | 2.0IN | WPB | SCH40 | 45DEG | NOS,fitting,elbow,NOS,"CPCL,IOCL",2,393.5,377.0,410.0,0.9768,AUTO_MATCHED
NMC-FAST-BOLT-F7230951,HEX BOLT | M14X56 | 8.8 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,"CPCL,IOCL",2,18.0,18.0,18.0,0.8525,AUTO_MATCHED
NMC-PIPE-2405518A,PIPE | 4.0IN | IS1239 | SCH40 | IS 1239 | MTR,pipe,pipe,MTR,"CPCL,GAIL,IOCL,SAIL",4,261.5,225.0,318.0,0.8813,AUTO_MATCHED
NMC-FAST-BOLT-D2B8639C,HEX BOLT | M12X45 | 8.8 | ZN | IS 1364 | NOS,fastener,hex bolt,NOS,"CPCL,GAIL,NTPC",3,19.0,18.0,21.0,0.9652,AUTO_MATCHED
NMC-FAST-STUD-8F8EAA6E,STUD BOLT | M20X100 | B7 | PLN | NOS,fastener,stud bolt,NOS,"CPCL,SAIL",2,92.5,91.0,94.0,0.7792,AUTO_MATCHED
NMC-FIT-FLANGE-19B7F9E6,FLANGE | 2.0IN | A105 | 150 | SO | ASTM A105 | NOS,fitting,flange,NOS,"CPCL,IOCL,SAIL",4,635.25,592.0,704.0,0.7688,AUTO_MATCHED
NMC-FAST-BOLT-69DA8A92,HEX BOLT | M18X72 | 8.8 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,"CPCL,NTPC,SAIL",3,19.33,18.0,21.0,0.8196,AUTO_MATCHED
NMC-PMP-CENT-E25418B5,CENTRIFUGAL PUMP | 25M3/HR | 32M | 5.5KW | NOS,pump,centrifugal pump,NOS,"CPCL,GAIL,IOCL",3,36568.0,26674.0,54000.0,0.8771,AUTO_MATCHED
NMC-FAST-BOLT-0300BDD8,HEX BOLT | M12X40 | 8.8 | ZN | NOS,fastener,hex bolt,NOS,"CPCL,IOCL",2,19.0,19.0,19.0,0.9587,AUTO_MATCHED
